Actual_index,Actual,Predicted_index,Predicted,images
18003,18.33235,294,20.444860061859995,294.jpg
18004,18.33235,295,20.50550020492593,295.jpg
18005,18.33235,296,21.223337921353668,296.jpg
18006,18.33235,297,21.464840114313745,297.jpg
18007,18.33235,298,21.00326032945019,298.jpg
18008,18.33235,299,21.501451921958537,299.jpg
18009,18.33235,300,22.55262081256188,300.jpg
18010,18.33235,301,21.82578617237504,301.jpg
18011,18.33235,302,21.78077356646699,302.jpg
18012,18.33235,303,21.468920635313573,303.jpg
18013,18.33235,304,21.81034568241889,304.jpg
18014,18.33235,305,22.30592840959207,305.jpg
18015,18.33235,306,23.0606689996344,306.jpg
18016,18.33235,307,22.785032324936036,307.jpg
18017,18.33235,308,21.488561057949475,308.jpg
18018,18.23374,309,22.39347023162728,309.jpg
18019,18.23374,310,22.520449626764183,310.jpg
18020,18.23374,311,22.921341690470577,311.jpg
18021,18.23374,312,22.414073410932545,312.jpg
18022,18.23374,313,21.75296743731269,313.jpg
18023,18.23374,314,22.96168791182418,314.jpg
18024,18.23374,315,23.116497691612864,315.jpg
18025,18.23374,316,22.78333910463089,316.jpg
18026,18.23374,317,21.82188290308759,317.jpg
18027,18.23374,318,21.05797466790001,318.jpg
18028,18.23374,319,21.67718953155728,319.jpg
18029,18.23374,320,20.879623994899227,320.jpg
18030,18.23374,321,20.345051021972182,321.jpg
18031,18.23374,322,20.34768740796796,322.jpg
18032,18.23374,323,19.325606922722457,323.jpg
18033,18.23374,324,20.196049034475323,324.jpg
18034,18.23374,325,19.380531630967766,325.jpg
18035,18.23374,326,18.36371832029132,326.jpg
18036,18.23374,327,17.887562847247295,327.jpg
18037,18.23374,328,17.7423512476842,328.jpg
18038,18.23374,329,18.83899033348466,329.jpg
18039,18.23374,330,17.489429379927845,330.jpg
18040,18.23374,331,17.314556105652912,331.jpg
18041,18.23374,332,16.78601062385068,332.jpg
18042,18.23374,333,17.618445770401536,333.jpg
18043,18.23374,334,17.212949360240028,334.jpg
18044,18.23374,335,13.079277918483475,335.jpg
18045,18.23374,336,17.063419815672884,336.jpg
18046,18.23374,337,17.88619614325444,337.jpg
18047,18.23374,338,17.97285683769835,338.jpg
18048,18.23374,339,17.741244823837427,339.jpg
18049,18.23374,340,16.872480539477838,340.jpg
18050,18.23374,341,17.09913976733326,341.jpg
